,bigg_id,standard_dg_prime,standard_dg_prime_error,comment
0,ALATA_D2,0.9586172796426297,0.9153626059083577,
1,SHCHD2,,,"operands could not be broadcast together with shapes (163,) (0,) (163,) "
2,CPPPGO,-142.99572836043012,3.122261999352926,
3,GTHOr,-4.94826572038036,0.3224468800724852,
4,DHORD5,-5.402063037915726,2.0166066811753276,
5,GLYCTO2,-36.03476561191402,2.5147951818076835,
6,GLYCTO3,7.6796020263801825,1.9852508545078558,
7,GLYCTO4,-1.7485504317092475,2.496080921686181,
8,PFK_3,-7.093712600791407,1.1571168598379236,
9,TRPS2,-20.035141780390028,0.4614808391928462,
10,G3PD5,-43.486024680474216,2.508064691887891,
11,EX_cellb_e,,,reaction is not purely in the cytoplasm
12,LEUTAi,-0.13824949901456543,0.6486518062822553,
13,SHK3Dr,-2.570660986887484,0.5393042789511125,
14,G5SD,-2.508876531422023,0.651599555481836,
15,ALATA_L2,0.9456288975358861,0.8192236320632628,
16,MAN6PI,-0.312454084114788,0.4762750021527206,
17,APRAUR,-9.967064909709132,0.6770007472199355,
18,DB4PS,-35.061292095571524,0.8400175080535074,
19,RBFK,-4.9367089853706805,1.1778064212989505,
20,ACP1_FMN,-6.346162634623364,1.1788445063815478,
21,RBFSb,-37.595310125227094,3.3369864565243783,
22,EX_h_e,,,reaction is not purely in the cytoplasm
23,DMATT,-31.092491650511718,1.125166092302917,
24,GRTT,-31.577636860311532,1.1910973744315836,
25,UPP3S,-127.46332220522646,161444.8350154163,
26,UPPDC1,-8.290856797618227,5.093228521162023,
27,TMDPP,2.3925719345621275,1.8420747980944805,
28,EX_4abut_e,,,reaction is not purely in the cytoplasm
29,EX_akg_e,,,reaction is not purely in the cytoplasm
30,EX_arg__L_e,,,reaction is not purely in the cytoplasm
31,EX_cytd_e,,,reaction is not purely in the cytoplasm
32,EX_fum_e,,,reaction is not purely in the cytoplasm
33,EX_gua_e,,,reaction is not purely in the cytoplasm
34,HCO3E,-3.3159858008958993,1.273465417515913,
35,IMPC,7.014804128458378,2.204505178082578,
36,IMPD,6.71241375791855,1.6095928493945089,
37,ECOAH4,-0.29820284319320983,0.6025534499522294,
38,GLUTRS,,,"Compound(id=74593, inchi_key=None) has not yet been analyzed by ChemAxon."
39,TMPPP,-6.958916543935544,1.205921107486393,
40,URIK1,-8.262360977912028,1.704082033250626,
41,URIK2,-7.245177383889085,1.787506946504146,
42,CYTDK1,-5.789267022676685,1.137304323786658,
43,CYTDK2,-4.772083428653742,1.252987115637963,
44,XPPT,-9.259552903159541,0.9942293837971121,
45,HXPRT,-10.889018323569944,0.6488093615862395,
46,NDPK5,1.0315576878247092,0.9769257760023539,
47,DHORTS,-3.020798299371353,0.6962388303053597,
48,OMPDC,-9.079795302653011,3.5174210705591746,
49,CS,-15.778004564839481,0.17987584383897612,
50,ICDHyr,2.3204917345783156,1.3107675267887833,
51,ACALD,-8.363323482207532,0.4936955817421646,
52,ACS,-2.6891520757814398,0.1663611266804232,
53,PPA,-5.952973864441749,0.07853754409003424,
54,PPCK,4.468846065807627,1.2833844487404034,
55,ME1,5.19390604575325,1.2826138353503131,
56,ALAR,-0.012988382106743624,0.4138271539117814,
57,ALATA_L,0.14006008684187388,0.21850411393906347,
58,XYLK,-10.11844935967786,0.8332498017234052,
59,RBK,-11.837723023196006,0.8305030302245316,
60,GLYK,-7.011056549737796,0.855058294198528,
61,PPM,-5.699950090595437,0.8083325468203283,
62,ASPTA,1.1651642054368259,0.22358557055621198,
63,FBP,-3.583741994114626,0.2846483454106755,
64,GLGC,-2.7284608988075263,0.5584119763187878,
65,PYK,-9.94473441271823,0.1742057897328459,
66,A5PISO,-1.0560490414814878,0.7087381946205181,
67,EX_metsox_S__L_e,,,reaction is not purely in the cytoplasm
68,IPPMIb,-0.6437416272843204,0.7678359005851821,
69,ACHBS,-8.653293400815652,2.012691353168541,
70,ACLS,-12.775190779644197,1.5243008669521518,
71,PSCVT,-6.6006924947386345,0.927304138345804,
72,ANS,-42.9748405703838,3.042236806302232,
73,ANPRT,-23.79628060459613,1.4598078798654126,
74,CHORM,-19.312515664435438,1.862367770097643,
75,CHORS,-17.246243749778774,1.5403436361929328,
76,IGPS,-29.93095282384788,2.449880740404613,
77,EX_fe3_e,,,reaction is not purely in the cytoplasm
78,EX_gln__L_e,,,reaction is not purely in the cytoplasm
79,EX_man_e,,,reaction is not purely in the cytoplasm
80,EX_rib__D_e,,,reaction is not purely in the cytoplasm
81,ECOAH6,-0.2982028431931956,0.6025534499522294,
82,ENO,-1.6486551719594458,0.12541407155522816,
83,FBA,8.884096630833863,0.21760214288238375,
84,MGSA,-23.52267456867776,0.7797008967629023,
85,PPS,-0.9263851402726039,0.2048292987356612,
86,PGI,1.0094112531430075,0.15739599475645313,
87,PGK,7.550767167727188,0.18150378006357107,
88,EDA,6.653549392363301,0.8527149366801681,
89,PGL,-10.222806345426777,0.6823229238337725,
90,RPE,-1.358434774824427,0.4745418025555393,
91,TALA,-0.28255257417318785,0.5813030735250745,
92,TKT1,-0.5697390275896885,0.9666261879042073,
93,G6PDA,0.8661145988870868,0.8527149366801683,
94,ALCD2x,7.193773392759136,0.13299939673173453,
95,ALDD2y,-21.88120762976437,0.5410597686632667,
96,RMI,0.05719391783908649,0.6962388303053586,
97,EX_val__L_e,,,reaction is not purely in the cytoplasm
98,FMNAT,-4.527865704982019,1.5931535621472006,
99,NADDP,-17.151743679026158,1.2287852660862313,
100,NMNAT,0.9507263704830405,1.2059210282911934,
101,HMPK1,-4.417953179766261,0.5003423483023385,
102,NDPK6,0.3747212583364185,0.514676384700006,
103,NDPK8,1.2482550473834377,0.5950585616120767,
104,PYNP2r,0.7317881294325956,0.5393042789511178,
105,DURIPP,1.6544524833955603,1.1029472409936458,
106,PTRCTA,1.4591280827873558,0.8015701324175935,
107,CYSDS,-2.6135782449776928,1.764065081548131,
108,TRPAS2,8.316261399074685,0.26657048998944594,
109,NDP3,-10.512924564135503,0.5079744255689383,
110,CDPPH,-10.59828609278101,1.2123980475036065,
111,NDP7,-9.482648707368181,1.3122441426230127,
112,PMDPHT,-5.536916767317935,0.5027811349659159,
113,ILETA,-2.249538978129119,1.4392639286435018,
114,VALTA,0.8872056513559599,1.4185404727858555,
115,ORPT,-3.484985277323009,0.5393042789511175,
116,RBFSa,-41.41096933347736,3.3841045399334253,
117,DHAD2,-14.26083844427775,0.5657988694583612,
118,G1PP,-6.505220240203282,0.34051707904728784,
119,PFL,-8.350243961460635,0.6125448823918882,
120,FRD2,-15.00010632141379,2.117972582875375,
121,FRD3,-5.571953863324508,2.6028843374405537,
122,POX,-80.46411694096149,2.8029389067032207,
123,PTAr,3.713787666415182,0.24944282774938453,
124,ACKr,5.9427812791828725,0.22605297675308622,
125,EX_ile__L_e,,,reaction is not purely in the cytoplasm
126,EX_leu__L_e,,,reaction is not purely in the cytoplasm
127,EX_orn_e,,,reaction is not purely in the cytoplasm
128,EX_pyr_e,,,reaction is not purely in the cytoplasm
129,EX_thymd_e,,,reaction is not purely in the cytoplasm
130,MOAT,-104.9595556719916,28539.684345081172,
131,UDCPDPS,-252.62109488249249,9.528778995452669,
132,USHD,-12.480735127979475,1.3797136010332824,
133,LPADSS,-11.334158020769697,0.7070604263326067,
134,TDSK,-4.845322624982195,0.5579489887659445,
135,EX_ptrc_e,,,reaction is not purely in the cytoplasm
136,EX_thym_e,,,reaction is not purely in the cytoplasm
137,NTPP1,-18.285893044392466,0.9875836540070159,
138,NTPP2,-14.825638725664858,0.7691723994991602,
139,NTPTP1,,,"operands could not be broadcast together with shapes (163,) (0,) (163,) "
140,NTPTP2,,,"operands could not be broadcast together with shapes (163,) (0,) (163,) "
141,IPMD,6.196711594425107,0.3986537693090393,
142,AIRC3,-13.117372348263563,2.4208617590840134,
143,ADSL2r,6.362980070766277,1.2059210282912083,
144,PUNP5,3.502443801099885,0.438828710407678,
145,PUNP6,3.7887369950462486,0.6962388303053592,
146,PUNP7,4.155457635151844,1.2059210282912076,
147,RNDR1,-18.020969528967253,1.5112131773858957,
148,RNDR3,-16.546655733090738,1.2047223103441085,
149,RNDR4,-15.994626249819909,0.9818471318309752,
150,TMDS,-17.88680690325295,1.199300980028032,
151,TMDK1,-7.655570476753879,1.219763032808375,
152,PPCDC,-8.52344234152645,1.2671224495554891,
153,FTHFD,-8.401956790970706,1.1188966940020704,
154,EDD,-17.345528542108173,1.05711451470493,
155,DHQTi,-2.135222451839881,0.8527149366801657,
156,PUNP1,3.202538266378365,0.545231487917644,
157,PUNP2,4.167385484158208,1.3924776606107168,
158,PUNP3,4.387157756248682,0.8527149590608589,
159,LYSAM,-1.8448208035806082,0.8527149366801675,
160,DHAD1,-14.260858730514908,0.5657988694583612,
161,IPPMIa,-1.9915532285932405,0.7662072851459816,
162,G3PD7,-9.19980950026955,2.4892998332577956,
163,NADH9,-18.23862366994297,2.4722068438635834,
164,NADH10,-8.810471211853912,1.9551490139026195,
165,MDH,10.669794392663682,0.12540479395824047,
166,FUM,-1.385268634622597,0.11444543744145824,
167,PYDXNK,-3.960685513452221,0.8863556334171928,
168,PYAM5PO,-39.73417947351951,1.876658756566479,
169,OHPBAT,4.258946519206927,0.7730783287178015,
170,EX_arab__L_e,,,reaction is not purely in the cytoplasm
171,EX_gal_e,,,reaction is not purely in the cytoplasm
172,EX_duri_e,,,reaction is not purely in the cytoplasm
173,EX_gly_e,,,reaction is not purely in the cytoplasm
174,EX_lys__L_e,,,reaction is not purely in the cytoplasm
175,EX_thm_e,,,reaction is not purely in the cytoplasm
176,GLUTRR,,,"Compound(id=74402, inchi_key=None) has not yet been analyzed by ChemAxon."
177,GLCS1,-349.86335718739053,2.193188484373992,
178,GLCP,347.26192033064586,2.126015335560317,
179,EX_fmn_e,,,reaction is not purely in the cytoplasm
180,HEMEOS,,,"operands could not be broadcast together with shapes (163,) (0,) (163,) "
181,ADMDC,-8.110021643661131,1.2671224495554891,
182,AGMT,-22.677391923810685,2.545143625879245,
183,ARGDC,-0.27609365266449953,2.4999969409940577,
184,ARGSS,7.61731577268025,1.8309720712527051,
185,AGPR,1.1789804226078848,0.651599555481836,
186,SPMS,0.07521964846811142,40361.20871408796,
